doc_id,company,source_type,source_name,publish_date,text,engagement,url,sentiment_score
CBMioAFBVV95cUxPSXdrTnRRd3hlMTNHQ2RnLWZGNHRQWW1RTkt1dC0zcGltWnlqNXVRMG5UYlFLNHdsS3BnMGljLUdaUnhrV1gwZkUteDhSLTBtejVGRUpwTFdJMlZvajZURjRaNWpPMTNGRW5qRGQzTnpjU3pBcWJxa1pCcGVJRzltOFZUOHlYZ3lmV3VtU3ZjYUVyOVduYTd0YWNyb3dBa3RK,Starbucks,news,Bring Me The News,2025-12-18 15:31:43,Two more Twin Cities-area Starbucks vote to unionize - Bring Me The News,0.0,https://news.google.com/rss/articles/CBMioAFBVV95cUxPSXdrTnRRd3hlMTNHQ2RnLWZGNHRQWW1RTkt1dC0zcGltWnlqNXVRMG5UYlFLNHdsS3BnMGljLUdaUnhrV1gwZkUteDhSLTBtejVGRUpwTFdJMlZvajZURjRaNWpPMTNGRW5qRGQzTnpjU3pBcWJxa1pCcGVJRzltOFZUOHlYZ3lmV3VtU3ZjYUVyOVduYTd0YWNyb3dBa3RK?oc=5,
CBMiZkFVX3lxTE1GeElLS0VvY2lLMEMtTGplaGFHcXRvZUNqNEZnTDNNREF5M0FtcEE1RlN1OGxsblVjSkJtbW1FRFRMSlJlS2ZFa0RhQldxbFJKZHlUYzZLc2NwbTFtbVBCeEZ6OU9MUQ,Starbucks,news,Lynnwood Times,2025-12-18 22:53:31,Red Cup Rebellion marches on Starbucks headquarters in Seattle ahead of holidays - Lynnwood Times,0.0,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1GeElLS0VvY2lLMEMtTGplaGFHcXRvZUNqNEZnTDNNREF5M0FtcEE1RlN1OGxsblVjSkJtbW1FRFRMSlJlS2ZFa0RhQldxbFJKZHlUYzZLc2NwbTFtbVBCeEZ6OU9MUQ?oc=5,
CBMijAFBVV95cUxOTFJfUG85VG5DSy01Y09la3pUOUZ4NnVDd1ROcGp6bmFvbWtHblhNa09IQkNlWlFVaXVocU1hdGZQRzhwSmJQbTlxMnJkRzJORHJuRUpjYTVaU3ZnOE9oeXhOWHhCRjh2dGVwTndBdkpLZ1AtRGdIckxhdGI4SVNPMWhpMnN0ckloaXhIONIBkgFBVV95cUxOeE1oc3hPdnltWmRoQ2NmODFDMGNwdXdmb2NyZVl4RjNXRTM1LXpiNkp2NnRacTlqSnk0ZVBGRUdCWDFHNGRsbEpZQnNoX3BmX1dDMDE1S0lwNkhfbUh2dUVqZDNWZnNub1c5RmRqZGJqRFRZbExtMFJoaHB2dTM5SmFtVTVlMGpoRjFLbWtTY0Z5dw,Starbucks,news,CNBC,2025-12-04 08:00:00,Starbucks Workers United holds rally in NYC as strikes continue for a third week - CNBC,0.0,https://news.google.com/rss/articles/CBMijAFBVV95cUxOTFJfUG85VG5DSy01Y09la3pUOUZ4NnVDd1ROcGp6bmFvbWtHblhNa09IQkNlWlFVaXVocU1hdGZQRzhwSmJQbTlxMnJkRzJORHJuRUpjYTVaU3ZnOE9oeXhOWHhCRjh2dGVwTndBdkpLZ1AtRGdIckxhdGI4SVNPMWhpMnN0ckloaXhIONIBkgFBVV95cUxOeE1oc3hPdnltWmRoQ2NmODFDMGNwdXdmb2NyZVl4RjNXRTM1LXpiNkp2NnRacTlqSnk0ZVBGRUdCWDFHNGRsbEpZQnNoX3BmX1dDMDE1S0lwNkhfbUh2dUVqZDNWZnNub1c5RmRqZGJqRFRZbExtMFJoaHB2dTM5SmFtVTVlMGpoRjFLbWtTY0Z5dw?oc=5,
CBMi4AFBVV95cUxOWWs1Qkl5eXZKZDVvMHQ3QTRyMnlXM0tKVWIwNkhId1NfbUNFZDUzRHRkSjdiTTJDamdQaEhPYko3TWtIVzAyMGtpbnM1cERqdkpMLTA0cFU2X3BJMExPeXE2b3hxbm5PYTVHcDliX19WaHJnNlFwLWlGNkVfREZqS3pFV2JIN1dLVjVGS2ZfajA3N3hiX3BLNzV1ckNYVDdWN2VvekFyM1FEY1pERnh1V1I2Zk9KNGpMbnIzUE1VVzFmRWxZZnBNVFowT09ub21OcGdfUnRUSkk1emtqeWdGUQ,Starbucks,news,Retail TouchPoints,2025-12-19 16:14:00,Starbucks Baristas Take Strike to Company’s Seattle HQ as Labor and Political Support Expands - Retail TouchPoints,0.0,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOWWs1Qkl5eXZKZDVvMHQ3QTRyMnlXM0tKVWIwNkhId1NfbUNFZDUzRHRkSjdiTTJDamdQaEhPYko3TWtIVzAyMGtpbnM1cERqdkpMLTA0cFU2X3BJMExPeXE2b3hxbm5PYTVHcDliX19WaHJnNlFwLWlGNkVfREZqS3pFV2JIN1dLVjVGS2ZfajA3N3hiX3BLNzV1ckNYVDdWN2VvekFyM1FEY1pERnh1V1I2Zk9KNGpMbnIzUE1VVzFmRWxZZnBNVFowT09ub21OcGdfUnRUSkk1emtqeWdGUQ?oc=5,
CBMilgFBVV95cUxOOHJXZWQ2UWhmd1hqU2pnSDExdkEzMHlRdEpCY0hFckkzMllyeDVvZUFGUFRGNDhDQ1lLcVFpWmFQRFVzQjh0U3lWRXQxLVhTa0hXTnNtVF9CUDVsY01yUDNUZ2piSXUtT0NEM1lVOC1QUXFDelJJaEM1dE9lM3ZRb2ZlQ0MxZk5XY0hOTHNiTUEyWGcwOFE,Starbucks,news,Nation’s Restaurant News,2025-12-04 08:00:00,Inside the growing divide between Starbucks and its union - Nation’s Restaurant News,0.0,https://news.google.com/rss/articles/CBMilgFBVV95cUxOOHJXZWQ2UWhmd1hqU2pnSDExdkEzMHlRdEpCY0hFckkzMllyeDVvZUFGUFRGNDhDQ1lLcVFpWmFQRFVzQjh0U3lWRXQxLVhTa0hXTnNtVF9CUDVsY01yUDNUZ2piSXUtT0NEM1lVOC1QUXFDelJJaEM1dE9lM3ZRb2ZlQ0MxZk5XY0hOTHNiTUEyWGcwOFE?oc=5,
CBMivAFBVV95cUxOOTJYQUl4cU5UX3g2STlpemVSc3ZFNkxILVYxT1l2aFB4YWNJbi15VEVHZVdPVGE3ZWw1TmpYclVLUHltNFpoWjd3aDk4UHBST2ZhUFBkVkxwOGR0X2o2Rmk3NjdrQ3VJdURCeEFnVVJySlJZdE5uUzNQd0tXemhfTHR0SUlIVjB0SkJhcDR3dnZXNkpXTld3ckI4NUtpaUdHSGgwUE1iZGkydkxzMllTejNJc3FIMnRYcXhCMw,Starbucks,news,king5.com,2025-12-18 20:10:00,Starbucks union workers rally in Seattle - king5.com,0.0,https://news.google.com/rss/articles/CBMivAFBVV95cUxOOTJYQUl4cU5UX3g2STlpemVSc3ZFNkxILVYxT1l2aFB4YWNJbi15VEVHZVdPVGE3ZWw1TmpYclVLUHltNFpoWjd3aDk4UHBST2ZhUFBkVkxwOGR0X2o2Rmk3NjdrQ3VJdURCeEFnVVJySlJZdE5uUzNQd0tXemhfTHR0SUlIVjB0SkJhcDR3dnZXNkpXTld3ckI4NUtpaUdHSGgwUE1iZGkydkxzMllTejNJc3FIMnRYcXhCMw?oc=5,
CBMijwFBVV95cUxPVjYtdm1HN2ZXcnJaOURmQzJqcE92dG9QQTRRLVRtRHp1QWkwZDNLMmpGZG1pbUFueGpuRGFZMnl5S3BiM004VHVWemVHeWpWLUxCWC1FLXVfVC1JSEg3eTZzSjdvdGlzcFk4WmthcnVjd3RRb2ZwYUxEV0lyV0VYa2ZEN2lFY3lISEhzdXFTbw,Starbucks,news,The Guardian,2025-11-19 08:00:00,"‘No contract, no coffee’: what to know about the Starbucks workers’ strike in 65 US cities - The Guardian",0.0,https://news.google.com/rss/articles/CBMijwFBVV95cUxPVjYtdm1HN2ZXcnJaOURmQzJqcE92dG9QQTRRLVRtRHp1QWkwZDNLMmpGZG1pbUFueGpuRGFZMnl5S3BiM004VHVWemVHeWpWLUxCWC1FLXVfVC1JSEg3eTZzSjdvdGlzcFk4WmthcnVjd3RRb2ZwYUxEV0lyV0VYa2ZEN2lFY3lISEhzdXFTbw?oc=5,
CBMiWkFVX3lxTFBtc2ZjbFdFTGV0aUxXdWxxekZza3d2cU41ZWpWYjhKQTRSSElPcTlVSFJwNVJ6Y2pKOXExNHY5N0F3eDh6bXc0bGoxUjluT2lYTG4yeFR3cFRJd9IBX0FVX3lxTE4zUEZ6ZWFyWE16X0ZqWDZHRm9CdnozbXNwNWppUVJmbzlyUnBmelBLVTNHeU9BYkQ5dEFva1NUdUdkNzBxUUxqdTR6QVdBbGFHY1A1MGd0YTFoWEpVQkpv,Starbucks,news,BBC,2025-11-13 08:00:00,Starbucks union workers go on strike on busy Red Cup Day - BBC,0.0,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBtc2ZjbFdFTGV0aUxXdWxxekZza3d2cU41ZWpWYjhKQTRSSElPcTlVSFJwNVJ6Y2pKOXExNHY5N0F3eDh6bXc0bGoxUjluT2lYTG4yeFR3cFRJd9IBX0FVX3lxTE4zUEZ6ZWFyWE16X0ZqWDZHRm9CdnozbXNwNWppUVJmbzlyUnBmelBLVTNHeU9BYkQ5dEFva1NUdUdkNzBxUUxqdTR6QVdBbGFHY1A1MGd0YTFoWEpVQkpv?oc=5,
CBMimAFBVV95cUxPWGdIZlFRMFp5bU5LZjJHSlBVUk1JelNvQVQwVGp6XzNmOTIxQWktQlZiZER5YW9SbWNqNmUtU2J0U05xbC1KZDBBUHFibGVGTk8tMk5ORzJObndnNXI5SVVGZ2RsUjhhcnpXZ085TktteEVvLS1aQW92X3EtRzBaNElPRzNZNXZBVzgyakV6VHBSWklLV1dDV9IBngFBVV95cUxQSTJvblNpVk51NGRhQldXdDNRZnliVTdaNWFaUWhvUFNlbFU4cjczOTRXTlY3aDd5aHZ2NFNwSDZWQWI4dEZXUGFoMGNjdzk0MHJUdVlZMnlEM0xjS2xoaVpKcFFlT1FmdHJLVGQ4aWVTR1ByV3pwUTJGMi03YWU5SDBkaS1WTTYwY01BdlJuaEJEWk5zeFdZb3pfM21TQQ,Starbucks,news,CNBC,2025-11-28 08:00:00,Starbucks workers' union escalates strike on Black Friday - CNBC,0.0,https://news.google.com/rss/articles/CBMimAFBVV95cUxPWGdIZlFRMFp5bU5LZjJHSlBVUk1JelNvQVQwVGp6XzNmOTIxQWktQlZiZER5YW9SbWNqNmUtU2J0U05xbC1KZDBBUHFibGVGTk8tMk5ORzJObndnNXI5SVVGZ2RsUjhhcnpXZ085TktteEVvLS1aQW92X3EtRzBaNElPRzNZNXZBVzgyakV6VHBSWklLV1dDV9IBngFBVV95cUxQSTJvblNpVk51NGRhQldXdDNRZnliVTdaNWFaUWhvUFNlbFU4cjczOTRXTlY3aDd5aHZ2NFNwSDZWQWI4dEZXUGFoMGNjdzk0MHJUdVlZMnlEM0xjS2xoaVpKcFFlT1FmdHJLVGQ4aWVTR1ByV3pwUTJGMi03YWU5SDBkaS1WTTYwY01BdlJuaEJEWk5zeFdZb3pfM21TQQ?oc=5,
CBMiuwFBVV95cUxQS21MdExSaGRldFFadUNvOXp5aHBSLXBDZmd1UktCX29MMXNPeVBXMEpOS2FIS01QakFpTVp6d3VmMWdhMWZZdHQ5TzhIWFFwSGxhaEllN3hMOEI4cHU2NEV3ZHFjZ1RKTnFXUXV3S0hwM2Jmb1JjYTMyYzRsalR5dkdmRGVBZ3p4RWJBZjJOckx3SFREYWFqRzFYN1FpSUgwTDJNQ2ZKb0NENk9VNlRnamV3NFdBRmZ5aUZB,Starbucks,news,Reuters,2025-12-11 08:00:00,Starbucks workers' union takes month-long strike to more cities - Reuters,0.0,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQS21MdExSaGRldFFadUNvOXp5aHBSLXBDZmd1UktCX29MMXNPeVBXMEpOS2FIS01QakFpTVp6d3VmMWdhMWZZdHQ5TzhIWFFwSGxhaEllN3hMOEI4cHU2NEV3ZHFjZ1RKTnFXUXV3S0hwM2Jmb1JjYTMyYzRsalR5dkdmRGVBZ3p4RWJBZjJOckx3SFREYWFqRzFYN1FpSUgwTDJNQ2ZKb0NENk9VNlRnamV3NFdBRmZ5aUZB?oc=5,
