doc_id,company,source_type,source_name,publish_date,text,engagement,url
CBMirAFBVV95cUxQNW5GSHZJbHZqVFRmZnVoQ0hkc2FJWFhySFJEaG95NlpnVmZJT0hvV2txWkJLRnp0QmNVaG9MV1dYdklvMU43aWc2SnF4WERiTTJmMXFlQTJYc01SbWwyNG9oQ0JzbWRkMGxiZ0FsNl9Rb3RKakQ2bXZiTjhRUE85T3BJdDVzR1pPZzJvSHpxbWl6SklTVmQ2cEVSdDdyNWVrX0ZHTVE1eEt6dnVt0gGyAUFVX3lxTFBYbnN4NjBCX3RwVnZLdzA2SGs5NHNPZHk5YktVNFEwNkMtTnh6NGNscVdpTmVTSHg0ZWNZMDRWVFhQbnZZeVYwRFF5RHdNQTRhT0NUMEk2UXA4VERXcFRJZGk0MFNOY0NmWW9LR2JUVGFLSW9Ici1HdnBtUWFIVzdjYTNIaThEUG5yQWRDT182OThlZkltODdLSVNWcGREUUpRbXRzVXdkdjNUS2F4Q3dnUmc,Starbucks,news,ABC7 New York,2025-12-01 08:00:00,NYC announces $38.9M settlement with Starbucks baristas in worker protection lawsuit - ABC7 New York,0,https://news.google.com/rss/articles/CBMirAFBVV95cUxQNW5GSHZJbHZqVFRmZnVoQ0hkc2FJWFhySFJEaG95NlpnVmZJT0hvV2txWkJLRnp0QmNVaG9MV1dYdklvMU43aWc2SnF4WERiTTJmMXFlQTJYc01SbWwyNG9oQ0JzbWRkMGxiZ0FsNl9Rb3RKakQ2bXZiTjhRUE85T3BJdDVzR1pPZzJvSHpxbWl6SklTVmQ2cEVSdDdyNWVrX0ZHTVE1eEt6dnVt0gGyAUFVX3lxTFBYbnN4NjBCX3RwVnZLdzA2SGs5NHNPZHk5YktVNFEwNkMtTnh6NGNscVdpTmVTSHg0ZWNZMDRWVFhQbnZZeVYwRFF5RHdNQTRhT0NUMEk2UXA4VERXcFRJZGk0MFNOY0NmWW9LR2JUVGFLSW9Ici1HdnBtUWFIVzdjYTNIaThEUG5yQWRDT182OThlZkltODdLSVNWcGREUUpRbXRzVXdkdjNUS2F4Q3dnUmc?oc=5
CBMiqAFBVV95cUxPNGRYcmg4TzJqY2UwUF9aYmVMZjVMcEwybEhlSXBUUGM0Y05lV2loSTlNaUVFMEo0QWVDLTVfckh5bmdtSGpNT2g2TV9JMFZSX3lyOFY0SlRmOWdFem5Td3k5Y2NRcHRtaGNadE01UlY4UUVabTVrR2FScEFubVQ2QTVjbEdfa0Q0Z1N4Y2ZONzVfMHpFRjhSdENSOWIwUU9lWVFieThPaHM,Starbucks,news,Business Insider,2025-07-20 07:00:00,Starbucks corporate workers respond to the latest RTO mandate: 'This is the wrong direction. Please stop.' - Business Insider,0,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPNGRYcmg4TzJqY2UwUF9aYmVMZjVMcEwybEhlSXBUUGM0Y05lV2loSTlNaUVFMEo0QWVDLTVfckh5bmdtSGpNT2g2TV9JMFZSX3lyOFY0SlRmOWdFem5Td3k5Y2NRcHRtaGNadE01UlY4UUVabTVrR2FScEFubVQ2QTVjbEdfa0Q0Z1N4Y2ZONzVfMHpFRjhSdENSOWIwUU9lWVFieThPaHM?oc=5
CBMijAFBVV95cUxQSmQtYzA1eXBCdktVLTQxTkRmbDAyREhDeVNsX1h6ekVxQVE5ZWZXTXhDQ1hCRjJ1MktyNGt5ZVdZTzV0OFktcVdEMzRNbC1CdFU0OGxCbTJjZWpSNVEzX3lPUUZzYlZuaG1GdGZSenUwaFFJWTFOcTNibnpWaFEyeHZZRnBCS1lWaUhvYQ,Starbucks,news,Fortune,2025-03-06 08:00:00,"Starbucks' layoffs weren't about cutting costs, CEO tells remaining workers: 'We’re not effective' - Fortune",0,https://news.google.com/rss/articles/CBMijAFBVV95cUxQSmQtYzA1eXBCdktVLTQxTkRmbDAyREhDeVNsX1h6ekVxQVE5ZWZXTXhDQ1hCRjJ1MktyNGt5ZVdZTzV0OFktcVdEMzRNbC1CdFU0OGxCbTJjZWpSNVEzX3lPUUZzYlZuaG1GdGZSenUwaFFJWTFOcTNibnpWaFEyeHZZRnBCS1lWaUhvYQ?oc=5
CBMiiAFBVV95cUxPR0tKc2toQ1hjVHpsNHZyNXljVmg1aXJZTGd3M2FqLTJIbVpfbUZ3UWJRdWlfZjBvbUtqckJfNlFuQVFXT0pnYTh5bG5DdGRQYWVpS2Q5SzZHVl9JWWllMUtHMS1rMk9XUjlXQ2JvbDVFelhhLVJLQU9OaC1UYjBUcDFxdVFsNmhM0gGOAUFVX3lxTFBqVzlQcjZ3LW1UMjhuSmVnM2dCY091bWNNQ0RYejRaTDRDUktZZ3dEWnJ0OGZnNWI0d3hHRzJfb0tNZWZSVm0xWjRMbHlUYkdfWVlva0NUZldvSmdzSTJGR3BxdWZVX1pOdHRfSWx4Q2pva1NyaENOc2txMXFmXzdmVXQ2cDVNMTllSkwxMmc,Starbucks,news,CBS News,2025-09-18 07:00:00,Starbucks workers sue over company's new dress code's costs to them - CBS News,0,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPR0tKc2toQ1hjVHpsNHZyNXljVmg1aXJZTGd3M2FqLTJIbVpfbUZ3UWJRdWlfZjBvbUtqckJfNlFuQVFXT0pnYTh5bG5DdGRQYWVpS2Q5SzZHVl9JWWllMUtHMS1rMk9XUjlXQ2JvbDVFelhhLVJLQU9OaC1UYjBUcDFxdVFsNmhM0gGOAUFVX3lxTFBqVzlQcjZ3LW1UMjhuSmVnM2dCY091bWNNQ0RYejRaTDRDUktZZ3dEWnJ0OGZnNWI0d3hHRzJfb0tNZWZSVm0xWjRMbHlUYkdfWVlva0NUZldvSmdzSTJGR3BxdWZVX1pOdHRfSWx4Q2pva1NyaENOc2txMXFmXzdmVXQ2cDVNMTllSkwxMmc?oc=5
CBMiqwFBVV95cUxNX0gxNzk3VWdzaUN1bGlWd1pSTnRuZFBFN1FTSWdtT0hvYm9oYTJwT2tJZUJKMWJXTXNZVGgxWVg4NVpUZEVjNDBxeVRQSmZVSVAzWXRCc3NyclF1ZC04cU0xNHBsMi15YjV5MHdMbDIwYjRvbjVSYVVjcmNOTWR0eGMxYXV0azFhRThUTmQwd3h5ZjdnbEo5NW5EZUxONGJtUXZpdmNZbEM2RjA,Starbucks,news,Los Angeles Times,2025-10-20 07:00:00,Unionized baristas want Olympics to drop Starbucks as its ‘official coffee partner’ - Los Angeles Times,0,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNX0gxNzk3VWdzaUN1bGlWd1pSTnRuZFBFN1FTSWdtT0hvYm9oYTJwT2tJZUJKMWJXTXNZVGgxWVg4NVpUZEVjNDBxeVRQSmZVSVAzWXRCc3NyclF1ZC04cU0xNHBsMi15YjV5MHdMbDIwYjRvbjVSYVVjcmNOTWR0eGMxYXV0azFhRThUTmQwd3h5ZjdnbEo5NW5EZUxONGJtUXZpdmNZbEM2RjA?oc=5
CBMijgFBVV95cUxQcGFScUxaNHFOd1FSeVBnMU5ZUDdGcEQ2MHFDREJtaXNhX0szTW9mc2hIUWZWQXVfVUU2YnJZM0tTc0E0WjNBa3pkZUNfdFJIMG05LTZEcGczYThJWGp1UlpudVptb0I4ZWF1RTdtYUNMOThFLUZRdFh4MmR5NFhfMTVyQ3FLTlBXeGFmRGlR,Starbucks,news,In These Times,2025-11-13 08:00:00,Starbucks Workers Have Launched a Nationwide Strike and Consumer Boycott of the Coffee Chain - In These Times,0,https://news.google.com/rss/articles/CBMijgFBVV95cUxQcGFScUxaNHFOd1FSeVBnMU5ZUDdGcEQ2MHFDREJtaXNhX0szTW9mc2hIUWZWQXVfVUU2YnJZM0tTc0E0WjNBa3pkZUNfdFJIMG05LTZEcGczYThJWGp1UlpudVptb0I4ZWF1RTdtYUNMOThFLUZRdFh4MmR5NFhfMTVyQ3FLTlBXeGFmRGlR?oc=5
CBMidEFVX3lxTE0wSUxTc0dNU1Z2WW9NUTdrVS1VbmNWZnFtSUdPZjZCS3p1UDFrXzd3Wk9TUmRYQ3hiRG5CUFJiRGVrTnViTHI1M1JheUphUkJqTWdvYW0zXzItVkU2Q1lNVll1UENXTFUwcUkyYVdRTDNjZXo3,Starbucks,news,Chowhound,2025-11-16 08:00:00,The 7 Biggest Controversies To Ever Happen At Starbucks - Chowhound,0,https://news.google.com/rss/articles/CBMidEFVX3lxTE0wSUxTc0dNU1Z2WW9NUTdrVS1VbmNWZnFtSUdPZjZCS3p1UDFrXzd3Wk9TUmRYQ3hiRG5CUFJiRGVrTnViTHI1M1JheUphUkJqTWdvYW0zXzItVkU2Q1lNVll1UENXTFUwcUkyYVdRTDNjZXo3?oc=5
CBMikAFBVV95cUxQMWJsWTdjeUxNSWxmYjREVklUTVZVOTIwQ3l5aEpDaDVQa1hhcGRsVTlFZ1ZEeWlLNE4yNU82MlpLcTNWOUNMZU5ZZElPN2hXajRtbVRoU2NZdkM3LXQzSGJacV9CMW9Ed3A5SkVEX0FBVXdyWVRsdEhGNUVDaVAtREx5YUtpT19jM1BIRFlsOHQ,Starbucks,news,Trinitonian,2025-04-18 07:00:00,Starbucks’ baristas strike amid venti-sized problems - Trinitonian,0,https://news.google.com/rss/articles/CBMikAFBVV95cUxQMWJsWTdjeUxNSWxmYjREVklUTVZVOTIwQ3l5aEpDaDVQa1hhcGRsVTlFZ1ZEeWlLNE4yNU82MlpLcTNWOUNMZU5ZZElPN2hXajRtbVRoU2NZdkM3LXQzSGJacV9CMW9Ed3A5SkVEX0FBVXdyWVRsdEhGNUVDaVAtREx5YUtpT19jM1BIRFlsOHQ?oc=5
CBMifkFVX3lxTE8tblpGWC1LT1RiREd5UDhVNTFMb3ZZQnVGLXdsTkVybHZHdlpuZlc5REE4M19ISXhfOHBEd1VLQU9SM3d3S0hpTEQ1bS1YVE1ETXh4anlZMEg0YlFqNldIaVhMMl8tbVoweGp2T1JOMkVaY2ZLZEpXQnJlOXhHQQ,Starbucks,news,thestreet.com,2025-08-04 07:00:00,Starbucks' problems may be too big to fix - thestreet.com,0,https://news.google.com/rss/articles/CBMifkFVX3lxTE8tblpGWC1LT1RiREd5UDhVNTFMb3ZZQnVGLXdsTkVybHZHdlpuZlc5REE4M19ISXhfOHBEd1VLQU9SM3d3S0hpTEQ1bS1YVE1ETXh4anlZMEg0YlFqNldIaVhMMl8tbVoweGp2T1JOMkVaY2ZLZEpXQnJlOXhHQQ?oc=5
CBMirwFBVV95cUxOZlVjc3FnbWR3WjJCS2hRSGpzamU3YV8wYURpemZ0YmdsNEw0Yll1OXNwYUUtd3A0ZkxCYlpNTmNkSktwNnVPQk1aZGRhVzV4dWJoRXFlcW85bEl5U1NwWldIeml4WDZCZnpiYm1ubkNLbmpNeFpsYU9wVDJCS2hLQ1pBTDRCcFRJcmNXb29ZQU51d3NmTWljSFVVVFgzOVhnbG9mRE9oRk8yMmg3R3hB,Starbucks,news,Orlando Weekly,2025-05-12 07:00:00,Starbucks workers near Orlando walk off the job in one-day strike - Orlando Weekly,0,https://news.google.com/rss/articles/CBMirwFBVV95cUxOZlVjc3FnbWR3WjJCS2hRSGpzamU3YV8wYURpemZ0YmdsNEw0Yll1OXNwYUUtd3A0ZkxCYlpNTmNkSktwNnVPQk1aZGRhVzV4dWJoRXFlcW85bEl5U1NwWldIeml4WDZCZnpiYm1ubkNLbmpNeFpsYU9wVDJCS2hLQ1pBTDRCcFRJcmNXb29ZQU51d3NmTWljSFVVVFgzOVhnbG9mRE9oRk8yMmg3R3hB?oc=5
