company,source_type,source_name,publish_date,sentiment_score,url,engagement
Meta,news,GDELT,,0.0,https://www.livemint.com/companies/news/ibm-layoffs-tech-giant-to-cut-thousands-of-jobs-roles-company-to-focus-on-software-growth-says-report-11762282708921.html,0
Meta,news,GDELT,,0.0,https://www.cnbc.com/2025/12/04/meta-stock-metaverse.html,0
Meta,news,GDELT,,0.0,https://www.mediapost.com/publications/article/411154/meta-plans-major-cuts-to-metaverse-budget-report.html,0
Meta,news,GDELT,,0.0,https://www.mediapost.com/publications/article/411154/meta-reportedly-plans-big-cuts-to-metaverse-budget.html,0
Meta,news,GDELT,,0.0,https://www.siasat.com/meta-to-lay-off-600-employees-from-its-bloated-ai-unit-3286577/,0
Meta,news,GDELT,,0.0,https://www.straitstimes.com/business/companies-markets/meta-cuts-600-jobs-in-bloated-ai-unit-so-as-to-move-faster,0
Meta,news,GDELT,,0.0,https://www.prokerala.com/news/articles/a1690627.html,0
Meta,news,GDELT,,0.0,https://finance.yahoo.com/news/metas-highest-paid-employee-reportedly-013103013.html,0
Meta,news,GDELT,,0.0,https://www.marketscreener.com/news/meta-stock-rises-on-rumors-of-cuts-to-metaverse-investments-ce7d51dfde81f622,0
Meta,news,GDELT,,0.0,https://www.marketscreener.com/news/meta-is-cutting-600-jobs-in-its-artificial-intelligence-unit-to-optimize-its-structure-ce7d5dd8d98bf627,0
Meta,news,GDELT,,0.0,https://www.wxyz.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://www.wkbw.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://www.kshb.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://marketrealist.com:443/which-major-companies-have-announced-layoffs-in-2025/,0
Meta,news,GDELT,,0.0,https://www.10news.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://www.pymnts.com/meta/2025/meta-considers-30percent-budget-cuts-for-metaverse-group-amid-shift-to-ai/,0
Meta,news,GDELT,,0.0,https://www.marketscreener.com/news/meta-rises-on-bloomberg-report-of-metaverse-cuts-ce7d51dfde8ef427,0
Meta,news,GDELT,,0.0,https://www.newsweek.com/list-of-companies-laying-off-employees-in-december-11115055,0
Meta,news,GDELT,,0.0,https://www.ibtimes.com/metas-big-ai-bet-hits-turbulence-alexdanr-wang-critiques-mark-zuckerbergs-leadership-3793038,0
Meta,news,GDELT,,0.0,https://www.turnto23.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://www.kristv.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://www.techtimes.com/articles/313478/20251218/metas-big-ai-bet-hits-turbulence-alexdanr-wang-critiques-mark-zuckerbergs-leadership.htm,0
Meta,news,GDELT,,0.0,https://techcabal.com/2025/12/18/12-startups-and-tech-companies-that-cut-workforce-in-2025/,0
Meta,news,GDELT,,0.0,https://www.foxbusiness.com/technology/meta-scales-back-metaverse-spending-reports-cutting-budget,0
Meta,news,GDELT,,0.0,https://www.moneycontrol.com/technology/google-cuts-hundreds-of-jobs-as-interal-ai-push-continues-article-13593974.html,0
Meta,news,GDELT,,0.0,https://www.moneycontrol.com/technology/ai-pioneer-yann-lecun-leaves-meta-amid-internal-ai-turmoil-article-13687336.html,0
Meta,news,GDELT,,0.0,https://www.hindustantimes.com/trending/woman-on-o-1-visa-laid-off-by-google-just-6-months-after-being-hired-now-has-60-days-to-find-new-job-101759376777078.html,0
Meta,news,GDELT,,0.0,https://timesofindia.indiatimes.com/technology/tech-news/mark-zuckerberg-planning-to-cut-budget-by-billions-of-dollars-for-the-project-for-which-facebook-and-instagram-owner-changed-its-name/articleshow/125771696.cms,0
Meta,news,GDELT,,0.0,https://www.coindesk.com/markets/2025/12/04/meta-plans-30-cut-to-metaverse-budget-as-reality-becomes-less-virtual-bloomberg,0
Meta,news,GDELT,,0.0,https://www.newsweek.com/meta-announces-mass-layoffs-10921998,0
Meta,news,GDELT,,0.0,https://indianexpress.com/about/meta/,0
Meta,news,GDELT,,0.0,https://www.investopedia.com/meta-earnings-preview-q3-2025-update-11836943,0
Meta,news,GDELT,,0.0,https://www.rttnews.com/3584738/meta-cuts-600-jobs-in-ai-unit-amid-push-for-leaner-operations-and-faster-progress.aspx,0
Meta,news,GDELT,,0.0,https://economictimes.indiatimes.com/news/international/us/us-layoffs-hit-highest-level-in-two-decades-a-company-wise-breakdown-of-massive-job-cuts-by-ai-and-cost-cutting/articleshow/125199673.cms,0
Meta,news,GDELT,,0.0,https://www.cnbc.com/2025/10/23/meta-replacing-humans-with-ai-for-ftc-mandated-privacy-reviews.html,0
Meta,news,GDELT,,0.0,https://cointelegraph.com/news/meta-shares-climb-30-percent-metaverse-budget-cut-bloomberg,0
Meta,news,GDELT,,0.0,https://arstechnica.com/tech-policy/2025/09/amazon-blamed-ai-for-layoffs-then-hired-cheap-h1-b-workers-senators-allege/,0
Meta,news,GDELT,,0.0,https://www.kxxv.com/science-and-tech/artificial-intelligence/meta-announces-600-job-cuts-in-its-ai-division,0
Meta,news,GDELT,,0.0,https://thehill.com/policy/technology/5522156-tech-companies-h1b-visa-reliance/,0
Meta,news,GDELT,,0.0,https://www.insidermonkey.com/blog/wall-street-sees-upside-for-meta-as-metaverse-budget-faces-major-trim-1657227/,0
Meta,news,GDELT,,0.0,https://finance.yahoo.com/news/meta-cutting-600-jobs-ai-180533221.html,0
Meta,news,GDELT,,0.0,https://economictimes.indiatimes.com/news/international/global-trends/us-news-over-100000-job-cuts-rattle-tech-industry-in-2025-amazon-meta-google-intel-lay-off-thousands-of-employees-check-full-list-of-companies/articleshow/125029264.cms,0
Meta,news,GDELT,,0.0,https://www.hindustantimes.com/world-news/us-news/meta-to-lay-off-600-employees-in-ai-superintelligence-labs-heres-why-101761155677390.html,0
Meta,news,GDELT,,0.0,https://www.nerdwallet.com/finance/learn/tech-layoffs,0
Meta,news,GDELT,,0.0,https://telecom.economictimes.indiatimes.com/news/internet/meta-cuts-metaverse-budget-what-this-means-for-investors-and-the-future-of-reality-labs/125779237,0
Meta,news,GDELT,,0.0,https://www.channelnewsasia.com/business/meta-cut-up-30-metaverse-budget-bloomberg-news-reports-5551121,0
Meta,news,GDELT,,0.0,https://www.fox13seattle.com/news/meta-layoffs-seattle-bellevue-redmond,0
Meta,news,GDELT,,0.0,http://baystreet.ca/techinsider/5253/Meta-Platforms-Lays-Off-600-Staff-From-Its-AI-Unit,0
Meta,news,GDELT,,0.0,https://www.gamesindustry.biz/report-meta-planning-massive-cuts-to-reality-labs-metaverse-division,0
Meta,news,GDELT,,0.0,https://www.yahoo.com/lifestyle/articles/laid-off-meta-low-performer-102532212.html,0
Meta,news,GDELT,,0.0,https://www.entrepreneur.com/business-news/meta-is-reportedly-planning-to-raise-prices-on-a-popular/500748,0
Meta,news,GDELT,,0.0,https://fortune.com/2025/12/04/mark-zuckerberg-metaverse-deep-cuts-30-percent/,0
Meta,news,GDELT,,0.0,https://www.eastbaytimes.com/2025/11/05/economy-jobs-tech-layoff-hpe-hitachi-san-jose-south-bay-web-software/,0
Meta,news,GDELT,,0.0,https://finance.yahoo.com/news/mark-zuckerberg-rebranded-facebook-metaverse-175244214.html,0
Meta,news,GDELT,,0.0,https://thefrontierpost.com/meta-cuts-600-ai-jobs-to-streamline-decision-making/,0
Meta,news,GDELT,,0.0,https://www.webpronews.com/meta-lays-off-600-in-ai-superintelligence-labs-for-efficiency-gains/,0
Meta,news,GDELT,,0.0,https://www.el-balad.com/6742435,0
Meta,news,GDELT,,0.0,https://www.livemint.com/news/trends/it-feels-like-a-betrayal-ex-microsoft-manager-62-opens-up-on-being-laid-off-and-leaving-big-tech-after-20-years-11761453725392.html,0
Meta,news,GDELT,,0.0,https://www.mercurynews.com/2025/10/30/disneyland-lays-off-about-100-salaried-employees/,0
Meta,news,GDELT,,0.0,https://www.shacknews.com/article/146460/facebook-ai-layoffs-meta,0
Meta,news,GDELT,,0.0,https://www.bgr.com/1992030/meta-ray-ban-display-glasses-repairability-ifixit-teardown/,0
Meta,news,GDELT,,0.0,https://finance.yahoo.com/news/meta-meta-stock-pops-following-171241971.html,0
